cluster_id;count;timespan;gap;locations;average_length;starting_title;starting_date;ending_date;end month;end decade;Span;ending_country;starting_country;starting_location;starting_year;all_locations;all_titles;all_countries;crossed;out_date;in_date;out_city;out_country;in_city;in_country;genre;first_text
cluster_13411396;3;13662;35;3;888;;1761-08-31T00:00:00Z;1799-01-26T00:00:00Z;1;1790;year+;Sweden;Sweden;Stockholm;1761;['Stockholm', 'Norrköping', 'Örebro'];['Inrikes Tidningar', 'Norrköpings Weckotidningar', 'Örebro Weckoblad'];['Sweden'];;;;;;;;advice;"rsägs dageltgen under öfre läppen, eller i Mulen, om swartå fläckar wörö med knular i krottet, eller utstagne, da är snikan witz; äfwen om de stna adrorna som st-nes pä ögon-hinnan, äro blod-stinna, da är tecken at Feber är inne; fa fläckarna eller knulorna ga til Mungipan, fa ga de in i Munnen, ock snart nediHalstn ock Lungorne, dä Hästen strax dör; ty är högstnödigr at sa snart man märker swartå fläckar med knulor, man da brukar s) .At öpna Lungädren, ock sedan gifwa Hästen en dosis af efrerstrefne Häste-Pulfwer, pä följande sätt: z). Pulfret röres wäl ihop med et qwarter eller mera gammalt Ol, sedan dragés med Grimstaftet öfwer en stock Hästens Ros nägot up, sä mycket at allenast Pulfret kan rinna ned i Halsen, men ingalunda"
cluster_6797010;6;12560;34;5;431;;1762-02-25T00:00:00Z;1796-07-16T00:00:00Z;7;1790;year+;Sweden;Sweden;Stockholm;1762;['Stockholm', 'Karlskrona', 'Norrköping', 'Göteborg', 'Falun'];['Fahlu Weckoblad', 'Carlscronas Wekoblad', 'Götheborgs Allehanda', 'Götheborgska Nyheter', 'Inrikes Tidningar', 'Norrköpings Tidningar'];['Sweden'];;;;;;;;announcement;"om icke är Upbördsmän, warder beträdd at hafwa dylik upgäld tagit, stal dan bertöre bota hälften af den suni. ma, pä hwilken hail upgäld anammat; och som böterne i bägge besia fall stola wara angifwarens ensak; sä är Wär Rädiga wilja och befallning, det samtelige Wäre Befallnings-och Domhafwande lemna alla dem, som sädant wanartigt folk angifwa och til gerningen wilja binda, all styndsam och kraftig laga handräckning, hwarmedelst ben brottflige utan stonsmäl mä befordras ti"
cluster_31773119;7;11632;16;3;665;;1765-09-16T00:00:00Z;1797-07-22T00:00:00Z;7;1790;year+;Sweden;Sweden;Stockholm;1765;['Stockholm', 'Lund', 'Gävle'];['Inrikes Tidningar', 'Posttidningar', 'Stockholmsposten', 'Lunds Weckoblad', 'Weckoblad För Gefleborgs Län'];['Sweden'];;;;;;;;advice;"del «t lördatcra sure Dricka och ssrki'? Soppa. Denna tiben y dä Källare, ehuru gode de an oro, sällan kunna förwara Dricka för syra, torde warq nytlrgt at allmännare hafwa sig bekant et lättfängir Medel at betaga det en sadan osmak. Man kjöpcr pä Apotheqnen et eller flere Lod 8»! Tartari eller Minstens Salt, och lägger daraf et .hee-Skedblad i et Stop Dricka, eller nägot mea af Saltet, i fall Drickat ar mycket surt, rör Sm w il, sä at Saltet smälter, och kort därefter sedan fräöningen ar förbi, stal man finn&gt;?Dricka"
cluster_4407539;3;9144;25;3;798;;1772-12-23T00:00:00Z;1798-01-05T00:00:00Z;1;1790;year+;Sweden;Finland;Turku;1772;['Turku', 'Uppsala', 'Örebro'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Upsala Tidning', 'Örebro Weckoblad'];['Finland', 'Sweden'];True;1772-12-23T00:00:00Z;1797-09-09T00:00:00Z;Turku;Finland;Uppsala;Sweden;stories;"- H ) 4xo ( # de swäraste reglar at i akttaga för gammalt folk. S. Icke äsidosatta anständighet och enlighet; af fruktan at falla i osnygghet. M,* - - Det finnas gubbar som aro sH osnygge, sä osnygge t ?? Icke wara för mycket sträng emot ungt folk, utan häldre lämpa sig efter ungdomens dsrjkaper och swagtzkter, ulan at wara däraktig. »o. Icke lsta leda sia af nedriga menniffior, smickrare :c. de watt sig drängar eller andre. »l. Icke gifwa rsd, utan ät dem, som det begiva. / . 12. Jsafwa en wan, och bedja honom wara <n sträng domare öfwcr wara gjernmgar, i synnerhet i anseende til narwarande reglors i akttagande. 13. Tala litet, och aldrig om sig sielf. «^ Hter en swär Artickel. 14» Icke stryta af sm fordna unadom, fägring, styrka och Åtnjutna gunst af könet. 15* Icke lana öronen at e»l bedragclig kjär< leks behagelighete"
cluster_30794242;6;8645;17;4;548;;1773-10-30T00:00:00Z;1797-07-01T00:00:00Z;7;1790;year+;Sweden;Finland;Turku;1773;['Turku', 'Göteborg', 'Stockholm', 'Gävle'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Hwad Nytt?', 'Stockholmsposten', 'Weckoblad För Gefleborgs Län'];['Finland', 'Sweden'];True;1773-10-30T00:00:00Z;1776-01-19T00:00:00Z;Turku;Finland;Göteborg;Sweden;stories;"en detta förstrackclig.l ögliablrck, hwars blotta föreställning gjör den onda bafwand?, har icke nägol fafcltqi för den ftozuma. Mitt hjerta känner en osöl äl.derlig lag , som fordrar mina delars upldsuing. la.q anfev destst grafroar, säsom nfweu sa mänga deglar, i hwilka det jordista fmaltcr och söndras, dar guttet re,nar sig ccl) j?i!ji'é stan slagges. Jorden faller ner; men Själen uphdics til sin ursprungliga ffjonbet, Hwi stulle man da beffäda med cd försträckt öga qwarleflvori?!.' afSjalcns bonings de wittna ju om dcp fral nina» Et forntidens H ?) 155 l * fall. H"
cluster_30794238;6;8644;23;4;1399;;1774-01-30T00:00:00Z;1797-09-30T00:00:00Z;9;1790;year+;Sweden;Finland;Turku;1774;['Turku', 'Karlskrona', 'Norrköping', 'Uppsala'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Carlscronas Wekoblad', 'Norrköpings Weckotidningar', 'Upsala Tidning'];['Finland', 'Sweden'];True;1774-01-30T00:00:00Z;1774-12-03T00:00:00Z;Turku;Finland;Karlskrona;Sweden;stories;"( « mötts tadelfri och anständig, jag »ar Mbjertad, hjelpsam och lättjent; mni jag war där» jemte flat, obekymrad och warcflbs inom mitt hus. Igenom en wcklig och sielfswäldig npfostran fbrdärfwaoe jag min enda Son. Hans krovp blef swag och bmtälig, hans hjena och seder stämde och förlorade: han fcck ci lära nås gon ring alfwarsamt och nyttigt; därstre blef han först en onyttig, och sluteligrn en stndlig börda för samhället. Hans ungdoms yrsrl l'ch felsteg, som i tid ej blefroo rämde och dämpa« de, förwandlade sig efter b^nd i laster, kwilkas wäldsamma utbrott jag alt forfent sökte hämma genom tsd , form aningar ock myndighet. En Duel gjorde anda pä harö brottfliga bågar; och sorgen at hafwa wällat ijauo ofärd, förkortade mina. - Jag wäutade at h<<r fi,ma för mig hans osalla ffkgkhr och at i bans> förcbräelser och hans plägor, känna det grufiiga» sie af alla de qwal som föresiä mig. Du ser säledes, min kmh, orsakerna til min olycka. Men jag tilsvär, at jag mycket mindre begriper din. Food ech upfostrad i fattigs domens fF&te, och ifrän din bör,an ämnad at lefwa inom en träna, krets i werl&ct», Ijabr du ej fält näqot stort pund at stvara före. T)ina hästar och ditt stall utgjorde beta din syfila och omfattade alla dina styldiglietcr. Dem upsulte du mig til nöjes du roar flitig , trogen, waksam, nykter ccl) lndig; det är alt hwad man kan fordra, ock) långt mera an man wanligen fan »anta af en . betjent. - - - Säg mifl da, hwarförc din lott efter döden blifwit sä härd? Ack, Nädige Herre, den son, hwi»rS upfostran"
cluster_31382100;26;8596;23;4;724;;1771-09-19T00:00:00Z;1795-04-02T00:00:00Z;4;1790;year+;Sweden;Sweden;Stockholm;1771;['Stockholm', 'Falun', 'Karlstad', 'Gävle'];['Inrikes Tidningar', 'Dagligt Allehanda', 'Stockholmsposten', 'Extra Posten', 'Fahlu Weckoblad', 'Carlstads Tidningar', 'Weckoblad För Gefleborgs Län'];['Sweden'];;;;;;;;announcement;"Tractatcr til köps: säkra rön och pälitkligamedel til wälmåga och förinögcnhet, eller deli igenom mänga ars egna förstk förfarne Swensk.; Landrhurhällai en, uti hrollien tilkänno gifrvcs det förnämsta sorn en Landtman bör wera och första, til en indrägtig Landrhu-hällnlngs inrättande och wärdandc: Besynnerligen en nog gagnar.de Farafkötsti, sorn ej allenast sifwer en ren och fin lill, »tan aldeles bewarar Fären för ffadeliga ffukdvmar, och hö&gt;nrnar dcn rördärsweliga Färedöden; lurd mycket annat, som härtildags wadit Allinänhetcn obekant; sramglswcn af Carl Gustaf Bo"
cluster_4407476;4;8432;16;4;487;;1774-08-16T00:00:00Z;1797-09-16T00:00:00Z;9;1790;year+;Sweden;Finland;Turku;1774;['Turku', 'Stockholm', 'Gävle', 'Uppsala'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Stockholmsposten', 'Weckoblad För Gefleborgs Län', 'Upsala Tidning'];['Finland', 'Sweden'];True;1774-08-16T00:00:00Z;1780-07-07T00:00:00Z;Turku;Finland;Stockholm;Sweden;stories;"ge. Utdrag af Åbo Magiftrats Proto*coll, Hällit « Rädhustt d. 25 Ma§ 1663. Ailefwo nu tiltalte, utas Under StHchsllaren^ ?^ Hans Hörling, Robert Rancken, som wore förordnade til Rsdmän, och Hans P lågman til Kämmenär, och icke wille sig in» sialla, efter Gubernatorens mundtelig och jfrif« telig befattning: ds tilbodo de sig gerna wel<» gifwa ivo Daler, ss framt de mcd det &»nb«é tet hinbe föl stonte blifwa; dock mäste de nu giö» ra deras Radmans Ed osPläg:man jtn&ain* nero Ed. Nyheter"
cluster_4407449;4;8104;16;3;453;;1775-05-15T00:00:00Z;1797-07-22T00:00:00Z;7;1790;year+;Sweden;Finland;Turku;1775;['Turku', 'Stockholm', 'Gävle'];['Tidningar Utgifne Af Et Sällskap I Åbo', 'Stockholmsposten', 'Weckoblad För Gefleborgs Län'];['Finland', 'Sweden'];True;1775-05-15T00:00:00Z;1781-01-12T00:00:00Z;Turku;Finland;Stockholm;Sweden;stories;"klockor mycket strall ?af wagnar buller hördes', pch Staden uprörd war, som myror i en stack. Men nu war alt förbi. Strart man hans minne glömde. Hans Son tog det beslut, at genom Vulß sang Hans minne göra klart, hans äras lifstid läng. Wär Skald hans höga dygd «ned mänga rim berömde : Dch unga vorimon i dem fann det behag , At LuM wittra flit frikostigt han belönte. Han dertil ägde stal ; ty hän det nöjet rönte, At han sin Faders namn säg lefwa än e"
cluster_31333705;7;8083;19;4;736;;1777-06-09T00:00:00Z;1799-07-27T00:00:00Z;7;1790;year+;Sweden;Sweden;Stockholm;1777;['Stockholm', 'Göteborg', 'Falun', 'Gävle'];['Dagligt Allehanda', 'Götheborgs Allehanda', 'Fahlu Weckoblad', 'Weckoblad För Gefleborgs Län'];['Sweden'];;;;;;;;stories;". Mamsellerna i fönstret- - A. C)]r! Du. SI t^cktN buffel ^Zr gZr. Han ser ut svu&gt; cn korf: flitt fla!l Sck wara Officer. Tacka wet fas Sarton, det är en föl karl. Si Skriswaren, 8. Dir kommer en IMiVf» huru han iwänger sig! de äro nu solklike, se ut som Cavaljcrer, och n-erkeligen rätt manerllae i sälf!kao; sorni'.,e ärv lurige turar, fä ot en lan fa ffratta. Skall man fä nägon nu, si är det e» Präst: Oc tncka 01 nj.lr ulstsAriiig, förlusta sig af grankät, och biiswa fnart förlibbade. A. Han får åtminstone brö^lotti; oc andre äro kältrimiar allihop. Dorgaren kan wal föda cn, men Se b^uka nu så mycket at sp la bankrut, och så sitter Hustrun pä bar., backen. . B. Si du, den där med Kl"
